MarketingHomeStoreid,Store_Type,Age_30th_June,WinbackRateQ2,ChurnRateQ2,Regular_Base_PerQ2,New_Neighbor_AcquisitionQ2,WinBack_RateQ1,Churn_RateQ1,Regular_Base_PerQ1,New_Neighbor_AcquisitionQ1
7013,Pre,6.792607803,0.057216055,0.138347074,0.320393341,528,0.054016492,0.108978328,0.320590511,601
111,Pre,11.55646817,0.051362607,0.165789027,0.300771865,547,0.053333333,0.1327313,0.300756105,640
9070,Post,3.967145791,0.051932685,0.155577299,0.287402683,510,0.045866737,0.130975769,0.287293853,551
8041,Pre,9.661875428,0.063676205,0.139893874,0.347585513,325,0.070525105,0.1282177,0.34828629,423
44,Pre,25.04859685,0.065835642,0.139652089,0.362327393,654,0.064366966,0.119634405,0.362228373,556
198,Pre,7.58110883,0.056433409,0.169965577,0.287479916,248,0.057971014,0.150152772,0.287517011,298
56,Pre,24.61054073,0.052521275,0.178628902,0.282395199,649,0.055922529,0.141086283,0.282969035,737
180,Pre,10.74332649,0.052359975,0.155854865,0.314910468,510,0.057534247,0.122340426,0.314080981,495
236,Post,3.660506502,0.058068118,0.199214366,0.248875141,312,0.058396876,0.19651881,0.249056604,420
249,Post,2.570841889,0.073654996,0.147184466,0.355824842,432,0.065012831,0.123921569,0.354732057,426
194,Pre,8.919917864,0.049224472,0.183946488,0.261933127,415,0.05167657,0.16872552,0.261592301,429
2,Pre,14.15742642,0.056334195,0.153726305,0.341134435,1028,0.060215054,0.121900287,0.343839286,796
4002,Post,2.647501711,0.072202741,0.139370773,0.351429456,750,0.061407728,0.113554217,0.351524548,783
233,Post,3.37303217,0.066114411,0.150029709,0.34476405,461,0.066511628,0.131325301,0.344735764,476
8029,Pre,13.74948665,0.050295256,0.16311933,0.280140632,927,0.053113308,0.137802276,0.280087955,947
230,Post,4.052019165,0.058100559,0.154171961,0.305275407,282,0.062683824,0.141924249,0.305393869,322
4039,Post,2.245037645,0.063613894,0.142437199,0.32712324,760,0.070150322,0.116857702,0.327412722,873
4027,Post,2.22587269,0.060269827,0.136398863,0.327991181,653,0.063540511,0.126532742,0.327995255,771
4012,Post,2.628336756,0.053698462,0.182935825,0.237209031,1251,0.055606901,0.161753196,0.237281214,1408
226,Post,3.967145791,0.07155928,0.132278123,0.337818967,702,0.069905452,0.123019754,0.338240918,963
189,Pre,9.650924025,0.056823013,0.161747344,0.324856597,285,0.064636678,0.133955449,0.324365725,344
223,Post,4.561259411,0.081672528,0.121129821,0.418173564,658,0.085835769,0.105400372,0.418409091,575
9037,Pre,14.81451061,0.043528898,0.169802662,0.240874703,710,0.041338583,0.139636531,0.240826702,810
52,Pre,24.73648186,0.038029867,0.168923275,0.22357928,673,0.040956264,0.150260756,0.223438738,696
85,Pre,22.69404517,0.072258533,0.130579011,0.377213762,264,0.066863142,0.119963921,0.375793291,282
4026,Post,2.168377823,0.050418587,0.158378136,0.295050425,715,0.058018055,0.125057471,0.295727062,872
9040,Pre,14.35455168,0.059545547,0.152806653,0.369145124,328,0.061415894,0.129947342,0.369289827,346
